Test Time (s),Indent Disp. (nm),Indent Act. Load (µN),Indent Load (µN),Indent Disp. Volt. (V),Indent Act. Load Volt. (V),Indent Act. Output Volt. (V),Dynamic Freq. (Hz),Disp. Amp. (nm),Phase Shift (deg),Load Amp. (µN),Dynamic Comp. (nm/µN),Disp. Amp. Volt. (V),Load Amp. Volt. (V),Storage Mod. (GPa),Loss Mod. (GPa),Hardness (GPa),Complex Mod. (GPa),Tan-Delta,Storage Stiff. (µN/nm),Loss Stiff. (µN/nm),Complex Stiff. (µN/nm),Damping (g/s),Contact Area (nm^2),Contact Depth (nm),Ref. Stor. Mod. (GPa),Ref. Loss Mod. (GPa),Ref. Hardness (GPa),Ref. Compl. Mod. (GPa),Ref. Indent Disp. (nm),Ref. Contact Area (nm^2),Ref. Cont. Depth. (nm)

11.014826,447.359691,950.08495,735.807339,-0.091217,1.546279,1.546279,280.0,0.071754,-3.824883,8.747095,0.008203,1.061429e-005,0.005032,57.895077,3.473073,0.183023,57.999156,0.059989,131.762613,7.904318,131.999487,0.004493,4068094.317346,443.1934,66.3,3.977276,0.240021,66.419189,389.371471,3102038.788458,385.20518
11.019847,447.538669,948.109523,733.761148,-0.091253,1.544667,1.544667,280.0,0.071187,-3.75241,8.740382,0.008145,1.053039e-005,0.005033,58.314191,3.429,0.182339,58.414921,0.058802,132.781714,7.807851,133.011075,0.004438,4072095.047317,443.415933,66.3,3.898583,0.235699,66.414524,392.211912,3150208.982522,388.089177
11.024867,447.720422,952.14046,737.718827,-0.09129,1.547943,1.547943,280.0,0.070741,-3.417167,8.761332,0.008074,1.04645e-005,0.005034,58.851395,3.140722,0.183155,58.935141,0.053367,134.06386,7.154585,134.254634,0.004067,4075677.38772,443.615093,66.3,3.538232,0.232451,66.394345,396.07345,3211339.834349,391.968121
11.029887,447.72388,949.153086,734.732919,-0.09129,1.545513,1.545513,280.0,0.071169,-3.680993,8.749941,0.008134,1.052781e-005,0.005036,58.378252,3.365182,0.18243,58.475164,0.057644,132.98217,7.665684,133.202929,0.004357,4075440.285535,443.601914,66.3,3.821827,0.2353,66.410062,393.661227,3159727.69059,389.539262
11.034908,448.320181,951.9644,737.301196,-0.091413,1.547788,1.547788,280.0,0.071213,-3.944776,8.765329,0.008124,1.05343e-005,0.005037,58.354624,3.612681,0.182592,58.466346,0.061909,133.100147,8.240108,133.354971,0.004684,4085981.507472,444.187417,66.3,4.104572,0.235699,66.426934,393.188063,3165336.54365,389.055299
11.039928,449.137,952.109441,737.113341,-0.091583,1.547888,1.547888,280.0,0.070955,-4.773444,8.768462,0.008092,1.049613e-005,0.005038,58.426932,4.400785,0.18188,58.592434,0.075321,133.50909,10.056062,133.887271,0.005716,4100958.58838,445.017893,66.3,4.993794,0.234199,66.487803,394.628101,3184817.089871,390.508994
11.044949,449.495739,950.944119,735.803331,-0.091657,1.546933,1.546933,280.0,0.071114,-4.857776,8.765502,0.008113,1.051962e-005,0.00504,58.214198,4.464851,0.181277,58.385168,0.076697,133.126704,10.210411,133.517684,0.005804,4107356.504668,445.372152,66.3,5.085007,0.235132,66.494716,393.662848,3166599.852282,389.539262
11.049969,449.667201,954.61643,739.406687,-0.091692,1.549913,1.549913,280.0,0.071297,-5.107521,8.784799,0.008116,1.054673e-005,0.005041,58.148685,4.695583,0.18204,58.337964,0.080751,133.020131,10.741552,133.453123,0.006106,4110028.450435,445.520012,66.3,5.353813,0.236655,66.515813,393.202488,3161531.867039,389.055299
11.05499,449.634291,951.428164,736.234851,-0.091684,1.547324,1.547324,280.0,0.069508,-4.824224,8.772476,0.007923,1.028204e-005,0.005043,59.668854,4.539445,0.181193,59.841279,0.076077,136.524987,10.386452,136.919504,0.005904,4111674.994443,445.611101,66.3,5.043925,0.223704,66.491587,403.865896,3330328.803588,399.842706
11.06001,449.659074,954.895275,739.693223,-0.091688,1.55014,1.55014,280.0,0.069561,-4.816237,8.790816,0.007913,1.028994e-005,0.005044,59.752101,4.537786,0.182029,59.924161,0.075944,136.718937,10.382919,137.112628,0.005902,4111884.159581,445.622671,66.3,5.035056,0.224111,66.490915,404.376491,3339797.757358,400.340088
11.06503,449.754213,954.059965,738.821284,-0.091707,1.54946,1.54946,280.0,0.069935,-5.067273,8.789347,0.007957,1.03453e-005,0.005045,59.367399,4.751186,0.181758,59.557214,0.08003,135.860918,10.872978,136.295307,0.00618,4113229.384212,445.697075,66.3,5.306003,0.226685,66.511981,401.91649,3298009.569523,397.859352
11.070051,449.824018,953.80407,738.539022,-0.09172,1.549251,1.549251,280.0,0.069677,-4.933984,8.790541,0.007926,1.030712e-005,0.005047,59.611491,4.641148,0.181618,59.79189,0.077857,136.446143,10.623234,136.859062,0.006038,4114835.096321,445.785868,66.3,5.161893,0.224661,66.50064,403.384093,3326483.321478,399.345943
11.075071,449.844096,956.881352,741.609584,-0.091724,1.551748,1.551748,280.0,0.069384,-4.723166,8.80708,0.007878,1.026369e-005,0.005048,60.016131,4.46654,0.182344,60.182106,0.074422,137.381661,10.224263,137.761593,0.005812,4115394.031631,445.816772,66.3,4.9342,0.222527,66.483354,406.363134,3372254.57729,402.33581
11.080092,450.098681,953.797485,738.424187,-0.091775,1.54924,1.54924,280.0,0.069924,-5.076159,8.795271,0.00795,1.034358e-005,0.005049,59.373915,4.760087,0.181383,59.564421,0.080171,135.980435,10.901734,136.416738,0.006197,4119565.004131,446.047316,66.3,5.31536,0.226169,66.512729,401.910716,3303814.665847,397.859352
11.085112,450.096049,957.747205,742.376306,-0.091774,1.552444,1.552444,280.0,0.069851,-5.095694,8.81583,0.007923,1.033277e-005,0.005051,59.587456,4.795361,0.182355,59.7801,0.080476,136.46654,10.982283,136.907731,0.006242,4119386.609051,446.037458,66.3,5.335559,0.225754,66.514346,403.404533,3327477.920514,399.345943
